inlet_id,drain_node_id,road_coupling_eligible,surface_mapping_selected,surface_mapping_status,surface_row,surface_col
RN_INLET_00001,RN_DNODE_00001,1,0,excluded_outside_runoff_aoi,82,67
RN_INLET_00002,RN_DNODE_00002,1,0,excluded_same_30m_cell,86,68
RN_INLET_00003,RN_DNODE_00003,1,1,mapped,86,68
RN_INLET_00004,RN_DNODE_00004,1,1,mapped,82,68
RN_INLET_00005,RN_DNODE_00007,1,1,mapped,86,69
RN_INLET_00006,RN_DNODE_00008,1,1,mapped,82,69
RN_INLET_00007,RN_DNODE_00010,1,1,mapped,86,70
RN_INLET_00008,RN_DNODE_00011,1,1,mapped,82,70
RN_INLET_00010,RN_DNODE_00015,1,1,mapped,87,71
RN_INLET_00011,RN_DNODE_00016,1,1,mapped,82,71
RN_INLET_00012,RN_DNODE_00017,1,1,mapped,89,72
RN_INLET_00013,RN_DNODE_00018,1,1,mapped,88,72
RN_INLET_00014,RN_DNODE_00019,1,1,mapped,82,72
RN_INLET_00016,RN_DNODE_00021,1,1,mapped,89,73
RN_INLET_00017,RN_DNODE_00022,1,1,mapped,88,73
RN_INLET_00018,RN_DNODE_00023,1,1,mapped,82,73
RN_INLET_00020,RN_DNODE_00026,1,1,mapped,90,74
RN_INLET_00021,RN_DNODE_00027,1,1,mapped,82,74
RN_INLET_00025,RN_DNODE_00032,1,1,mapped,77,75
RN_INLET_00026,RN_DNODE_00033,1,1,mapped,76,75
RN_INLET_00027,RN_DNODE_00034,1,1,mapped,75,75
RN_INLET_00029,RN_DNODE_00038,1,1,mapped,81,76
RN_INLET_00030,RN_DNODE_00039,1,1,mapped,80,76
RN_INLET_00031,RN_DNODE_00040,1,1,mapped,78,76
RN_INLET_00032,RN_DNODE_00047,1,1,mapped,81,77
RN_INLET_00033,RN_DNODE_00048,1,1,mapped,80,77
RN_INLET_00034,RN_DNODE_00049,1,1,mapped,79,77
RN_INLET_00037,RN_DNODE_00059,1,1,mapped,106,79
RN_INLET_00039,RN_DNODE_00068,1,1,mapped,105,80
RN_INLET_00040,RN_DNODE_00069,1,1,mapped,104,80
RN_INLET_00041,RN_DNODE_00071,1,1,mapped,84,80
RN_INLET_00043,RN_DNODE_00078,1,1,mapped,84,81
RN_INLET_00044,RN_DNODE_00079,1,1,mapped,78,81
RN_INLET_00047,RN_DNODE_00088,1,1,mapped,78,82
RN_INLET_00048,RN_DNODE_00096,1,1,mapped,85,83
RN_INLET_00049,RN_DNODE_00097,1,1,mapped,78,83
RN_INLET_00052,RN_DNODE_00104,1,1,mapped,85,84
RN_INLET_00053,RN_DNODE_00105,1,1,mapped,78,84
RN_INLET_00054,RN_DNODE_00111,1,1,mapped,92,85
RN_INLET_00055,RN_DNODE_00112,1,1,mapped,88,85
RN_INLET_00056,RN_DNODE_00113,1,1,mapped,85,85
RN_INLET_00057,RN_DNODE_00114,1,1,mapped,79,85
RN_INLET_00058,RN_DNODE_00115,1,1,mapped,78,85
RN_INLET_00064,RN_DNODE_00135,1,1,mapped,86,87
RN_INLET_00067,RN_DNODE_00152,1,1,mapped,85,88
RN_INLET_00068,RN_DNODE_00157,1,1,mapped,111,89
RN_INLET_00070,RN_DNODE_00171,1,1,mapped,85,89
RN_INLET_00071,RN_DNODE_00180,1,1,mapped,112,90
RN_INLET_00072,RN_DNODE_00181,1,1,mapped,109,90
RN_INLET_00074,RN_DNODE_00197,1,1,mapped,85,90
RN_INLET_00076,RN_DNODE_00206,1,1,mapped,112,91
RN_INLET_00077,RN_DNODE_00207,1,1,mapped,109,91
RN_INLET_00079,RN_DNODE_00225,1,1,mapped,85,91
RN_INLET_00081,RN_DNODE_00233,1,1,mapped,112,92
RN_INLET_00082,RN_DNODE_00234,1,1,mapped,109,92
RN_INLET_00084,RN_DNODE_00254,1,1,mapped,112,93
RN_INLET_00087,RN_DNODE_00262,1,1,mapped,112,94
RN_INLET_00089,RN_DNODE_00264,1,1,mapped,110,94
RN_INLET_00091,RN_DNODE_00266,1,1,mapped,102,94
RN_INLET_00092,RN_DNODE_00271,1,1,mapped,112,95
RN_INLET_00094,RN_DNODE_00273,1,1,mapped,110,95
RN_INLET_00095,RN_DNODE_00274,1,1,mapped,102,95
RN_INLET_00096,RN_DNODE_00278,1,1,mapped,112,96
RN_INLET_00097,RN_DNODE_00279,1,1,mapped,102,96
RN_INLET_00098,RN_DNODE_00284,1,1,mapped,112,97
RN_INLET_00099,RN_DNODE_00285,1,1,mapped,103,97
RN_INLET_00100,RN_DNODE_00287,1,1,mapped,83,97
RN_INLET_00101,RN_DNODE_00288,1,1,mapped,81,97
RN_INLET_00102,RN_DNODE_00289,1,1,mapped,80,97
RN_INLET_00103,RN_DNODE_00295,1,1,mapped,112,98
RN_INLET_00104,RN_DNODE_00296,1,1,mapped,104,98
RN_INLET_00105,RN_DNODE_00297,1,1,mapped,103,98
RN_INLET_00106,RN_DNODE_00298,1,1,mapped,101,98
RN_INLET_00107,RN_DNODE_00299,1,1,mapped,86,98
RN_INLET_00108,RN_DNODE_00300,1,1,mapped,85,98
RN_INLET_00112,RN_DNODE_00304,1,1,mapped,80,98
RN_INLET_00114,RN_DNODE_00314,1,1,mapped,105,99
RN_INLET_00115,RN_DNODE_00315,1,1,mapped,104,99
RN_INLET_00118,RN_DNODE_00318,1,1,mapped,85,99
RN_INLET_00119,RN_DNODE_00319,1,1,mapped,84,99
RN_INLET_00121,RN_DNODE_00328,1,1,mapped,113,100
RN_INLET_00122,RN_DNODE_00329,1,1,mapped,106,100
RN_INLET_00123,RN_DNODE_00330,1,1,mapped,105,100
RN_INLET_00124,RN_DNODE_00333,1,1,mapped,80,100
RN_INLET_00125,RN_DNODE_00339,1,1,mapped,114,101
RN_INLET_00126,RN_DNODE_00340,1,1,mapped,113,101
RN_INLET_00127,RN_DNODE_00341,1,1,mapped,105,101
RN_INLET_00128,RN_DNODE_00344,1,1,mapped,81,101
RN_INLET_00129,RN_DNODE_00348,1,1,mapped,105,102
RN_INLET_00131,RN_DNODE_00353,1,1,mapped,81,102
RN_INLET_00132,RN_DNODE_00356,1,1,mapped,106,103
RN_INLET_00134,RN_DNODE_00359,1,1,mapped,86,103
RN_INLET_00135,RN_DNODE_00360,1,1,mapped,81,103
RN_INLET_00136,RN_DNODE_00362,1,1,mapped,106,104
RN_INLET_00137,RN_DNODE_00364,1,1,mapped,91,104
RN_INLET_00138,RN_DNODE_00365,1,1,mapped,81,104
RN_INLET_00144,RN_DNODE_00375,1,1,mapped,94,106
RN_INLET_00145,RN_DNODE_00378,1,1,mapped,81,106
RN_INLET_00146,RN_DNODE_00382,1,1,mapped,108,107
RN_INLET_00148,RN_DNODE_00386,1,1,mapped,82,107
RN_INLET_00149,RN_DNODE_00391,1,1,mapped,108,108
RN_INLET_00150,RN_DNODE_00392,1,1,mapped,107,108
RN_INLET_00152,RN_DNODE_00395,1,1,mapped,93,108
RN_INLET_00153,RN_DNODE_00396,1,1,mapped,92,108
RN_INLET_00154,RN_DNODE_00397,1,1,mapped,83,108
RN_INLET_00155,RN_DNODE_00404,1,1,mapped,108,109
RN_INLET_00156,RN_DNODE_00405,1,1,mapped,107,109
RN_INLET_00158,RN_DNODE_00407,1,1,mapped,83,109
RN_INLET_00159,RN_DNODE_00408,1,1,mapped,72,109
RN_INLET_00160,RN_DNODE_00411,1,1,mapped,108,110
RN_INLET_00161,RN_DNODE_00412,1,1,mapped,107,110
RN_INLET_00163,RN_DNODE_00414,1,1,mapped,83,110
RN_INLET_00164,RN_DNODE_00415,1,1,mapped,76,110
RN_INLET_00165,RN_DNODE_00417,1,1,mapped,74,110
RN_INLET_00166,RN_DNODE_00418,1,1,mapped,73,110
RN_INLET_00167,RN_DNODE_00420,1,1,mapped,108,111
RN_INLET_00169,RN_DNODE_00423,1,1,mapped,84,111
RN_INLET_00170,RN_DNODE_00425,1,1,mapped,109,112
RN_INLET_00171,RN_DNODE_00426,1,1,mapped,108,112
RN_INLET_00172,RN_DNODE_00427,1,1,mapped,106,112
RN_INLET_00173,RN_DNODE_00428,1,1,mapped,95,112
RN_INLET_00174,RN_DNODE_00430,1,1,mapped,84,112
RN_INLET_00175,RN_DNODE_00433,1,1,mapped,109,113
RN_INLET_00177,RN_DNODE_00435,1,1,mapped,94,113
RN_INLET_00178,RN_DNODE_00437,1,1,mapped,83,113
RN_INLET_00179,RN_DNODE_00438,1,1,mapped,112,114
RN_INLET_00180,RN_DNODE_00439,1,1,mapped,94,114
RN_INLET_00181,RN_DNODE_00440,1,1,mapped,93,114
RN_INLET_00182,RN_DNODE_00441,1,1,mapped,68,114
RN_INLET_00184,RN_DNODE_00446,1,1,mapped,95,115
RN_INLET_00185,RN_DNODE_00447,1,1,mapped,93,115
RN_INLET_00186,RN_DNODE_00448,1,1,mapped,92,115
RN_INLET_00187,RN_DNODE_00449,1,1,mapped,69,115
RN_INLET_00188,RN_DNODE_00450,1,1,mapped,68,115
RN_INLET_00189,RN_DNODE_00452,1,1,mapped,99,116
RN_INLET_00190,RN_DNODE_00453,1,1,mapped,98,116
RN_INLET_00191,RN_DNODE_00454,1,1,mapped,97,116
RN_INLET_00193,RN_DNODE_00456,1,1,mapped,70,116
RN_INLET_00194,RN_DNODE_00457,1,1,mapped,99,117
RN_INLET_00195,RN_DNODE_00458,1,1,mapped,98,117
RN_INLET_00196,RN_DNODE_00460,1,1,mapped,77,117
RN_INLET_00197,RN_DNODE_00461,1,1,mapped,76,117
RN_INLET_00198,RN_DNODE_00462,1,1,mapped,75,117
RN_INLET_00199,RN_DNODE_00463,1,1,mapped,74,117
RN_INLET_00200,RN_DNODE_00464,1,1,mapped,73,117
RN_INLET_00201,RN_DNODE_00465,1,1,mapped,72,117
RN_INLET_00202,RN_DNODE_00466,1,1,mapped,71,117
RN_INLET_00203,RN_DNODE_00467,1,1,mapped,70,117
RN_INLET_00204,RN_DNODE_00468,1,1,mapped,101,118
RN_INLET_00205,RN_DNODE_00469,1,1,mapped,100,118
RN_INLET_00206,RN_DNODE_00470,1,1,mapped,94,118
RN_INLET_00207,RN_DNODE_00471,1,1,mapped,80,118
RN_INLET_00208,RN_DNODE_00472,1,1,mapped,79,118
RN_INLET_00209,RN_DNODE_00473,1,1,mapped,78,118
RN_INLET_00212,RN_DNODE_00477,1,1,mapped,85,119
RN_INLET_00213,RN_DNODE_00478,1,1,mapped,84,119
RN_INLET_00214,RN_DNODE_00479,1,1,mapped,83,119
RN_INLET_00215,RN_DNODE_00480,1,1,mapped,82,119
RN_INLET_00216,RN_DNODE_00481,1,1,mapped,81,119
RN_INLET_00217,RN_DNODE_00482,1,1,mapped,80,119
RN_INLET_00219,RN_DNODE_00486,1,1,mapped,86,120
RN_INLET_00221,RN_DNODE_00489,1,1,mapped,94,121
RN_INLET_00224,RN_DNODE_00493,1,1,mapped,94,122
RN_INLET_00227,RN_DNODE_00500,1,1,mapped,97,126
RN_INLET_00228,RN_DNODE_00503,1,1,mapped,75,126
RN_INLET_00229,RN_DNODE_00504,1,1,mapped,74,126
RN_INLET_00231,RN_DNODE_00508,1,1,mapped,97,127
RN_INLET_00234,RN_DNODE_00518,1,1,mapped,101,128
RN_INLET_00235,RN_DNODE_00519,1,1,mapped,97,128
RN_INLET_00236,RN_DNODE_00520,1,1,mapped,96,128
RN_INLET_00237,RN_DNODE_00521,1,1,mapped,95,128
